Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,2110,2489,2730,2887,3133,3224,3226,3408,3579,3977
Belgium,1225,1469,1622,1902,2119,2308,2411,2687,3042,3242
Bulgaria,699,699,699,698,699,703,703,704,702,702
Croatia,339,418,483,576,586,646,801,987,987,1143
Czechia,278,281,282,308,316,339,339,339,339,343
Denmark,3615,3806,3974,4225,4422,4410,4558,4698,4778,4832
Estonia,275,300,310,312,310,316,317,315,316,408
Finland,601,973,1533,1971,1968,2211,2513,3184,5604,6884
France,9191,10287,11556,13497,14898,16425,17533,18549,20809,22194
Germany,37620,41297,45303,50174,52328,53187,54414,55904,58014,61052
Greece,1978,2091,2370,2624,2877,3589,4119,4649,4702,5220
Hungary,329,329,329,329,329,323,323,324,324,324
Italy,8683,9137,9384,9737,10230,10679,10871,11254,11821,12308
Latvia,69,68,70,77,78,78,78,77,82,141
Lithuania,288,436,509,518,533,534,540,671,946,1287
Luxembourg,58,64,120,120,123,136,153,136,165,221
Netherlands,2637,3034,3300,3245,3436,3527,4188,5214,6185,6771
North Macedonia,37,37,37,37,37,37,37,37,73,110
Norway,857,865,881,1205,1708,2912,4028,5047,5060,5063
Poland,3836,4886,5747,5759,5766,5838,6298,6967,8150,9307
Portugal,4855,4935,5124,5124,5172,5223,5097,5402,5513,5592
Romania,3244,3130,3025,3030,3032,3038,3013,3015,3015,3087
Slovak Republic,3,3,3,4,3,4,4,4,4,4
Slovenia,3,3,3,3,3,3,3,3,3,3
Spain,22920,22938,22985,23119,23400,25585,26814,27903,30109,31021
Sweden,4875,5606,6232,6408,7097,8478,9773,11923,14086,16059
Switzerland,60,60,75,75,75,75,87,87,87,87
United Kingdom,8573,9212,10833,12597,13425,13999,14075,14493,14835,15470
