Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,785,937,1096,1269,1455,1702,2043,2783,3792,6832
Belgium,3015,3132,3329,3621,4000,4637,5573,6012,6756,8549
Bulgaria,1029,1028,1030,1031,1033,1044,1100,1275,1737,2937
Croatia,33,48,56,60,68,85,109,138,222,461
Czechia,2067,2075,2068,2075,2081,2111,2172,2246,2420,2499
Denmark,607,782,851,906,998,1080,1304,1704,3070,3529
Estonia,3,7,10,15,32,121,208,395,520,690
Finland,11,17,39,82,140,222,318,425,664,900
France,6034,7138,7702,8610,9629,10738,11926,14612,17350,20551
Germany,37900,39224,40679,42293,45158,48914,53671,60038,67479,81739
Greece,2596,2604,2604,2606,2651,2834,3288,4277,5430,7030
Hungary,89,172,235,344,728,1400,2131,2968,4235,5835
Italy,18600,18907,19289,19688,20114,20871,21656,22600,24561,29795
Latvia,nan, nan, 1,1,2,3,5,7,113,353
Lithuania,69,69,70,74,82,103,164,255,572,1165
Luxembourg,110,116,122,128,131,160,187,277,317,432
Netherlands,1007,1526,2135,2911,4608,7228,11110,14823,19600,23904
North Macedonia,15,17,17,17,17,17,85,91,190,535
Norway,13,15,27,45,68,120,160,205,358,616
Poland,27,108,187,287,562,1539,3955,7416,12170,15809
Portugal,415,447,513,579,667,901,1100,1646,2646,3876
Romania,1293,1326,1372,1374,1386,1398,1383,1394,1809,1917
Slovak Republic,533,533,533,528,471,590,535,537,549,631
Slovenia,224,239,232,247,247,278,370,461,626,1034
Spain,7001,7008,7017,7027,7068,11111,12440,16019,25615,31016
Sweden,60,104,153,244,428,714,1107,1606,2388,3488
Switzerland,1061,1394,1664,1906,2173,2498,2973,3655,4340,5840
United Kingdom,5528,9601,11914,12760,13060,13345,13551,13915,14651,15657
